Comuna,Ingreso Total
 Santiago ,1400581
 Cerrillos ,865008
 Cerro Navia ,621411
 Conchalí ,665328
 El Bosque ,756117
 Estación Central ,778255
 Huechuraba ,734468
 Independencia ,624394
 La Cisterna ,1093429
 La Florida ,1013375
 La Granja ,626947
 La Pintana ,656093
 La Reina ,2312882
 Las Condes ,2678127
 Lo Barnechea ,1930652
 Lo Espejo ,778900
 Lo Prado ,733922
 Macul ,1141524
 Maipú ,1007694
 Ñuñoa ,2295026
 Pedro Aguirre Cerda ,696279
 Peñalolén ,809779
 Providencia ,2307348
 Pudahuel ,682588
 Quilicura ,1115318
 Quinta Normal ,833626
 Recoleta ,589072
 Renca ,770930
 San Joaquín ,953265
 San Miguel ,1215206
 San Ramón ,717083
 Vitacura ,3177830
 Puente Alto ,726208
 Pirque ,1182407
 San José de Maipo ,1040175
 Colina ,793718
 Lampa ,793292
 Tiltil ,735755
 San Bernardo ,674753
 Buin ,1000605
 Calera de Tango ,663266
 Paine ,737329
 Melipilla ,577077
 Alhué ,646969
 Curacaví ,689981
 María Pinto ,646345
 San Pedro ,417326
 Talagante ,877581
 El Monte ,691197
 Isla de Maipo ,913751
 Padre Hurtado ,575090
 Peñaflor ,874061
